plot_id,dwd_Mg_ha,fwd_Mg_ha,one_hour_Mg_ha,ten_hour_Mg_ha,hundred_hour_Mg_ha,cwd_Mg_ha,cwd_Mg_ha_sound,cwd_Mg_ha_rotten,deadfuel_depth_cm,duff_depth_cm,litter_depth_cm,live_surface_Mg_ha,herbs_Mg_ha,shrubs_Mg_ha,conifer_seedlings_Mg_ha,broadleaf_seedlings_Mg_ha
nor042,23.94,6.622,3.823,1.611,1.187,17.317,16.127,1.191,11.6,3.6,2.3,0.319,0.157,0.16,0.00112,2.46e-4
nor043,38.875,13.432,3.538,3.807,6.087,25.443,24.711,0.732,6.9,0.1,1.5,0.383,0.153,0.228,0.00231,0
nor063,65.72,10.875,6.194,3.028,1.654,54.845,36.066,18.778,8.7,11.7,3.5,0.839,0.149,0.361,0.329,0
nor064,82.638,16.635,8.614,4.355,3.666,66.004,42.652,23.352,12.2,6.4,3.7,0.507,0.025,0.0607,0.421,0
nor065,43.508,10.705,5.365,3.171,2.168,32.803,20.387,12.416,11,5.2,4.2,0.702,0.037,0.352,0.3,0.0137
nor067,26.995,11.406,4.102,3.395,3.908,15.59,12.572,3.017,15.4,4.2,3,0.855,0.122,0.412,0.321,0
nor069,17.095,8.543,3.294,1.904,3.345,8.552,2.695,5.857,8.7,4.1,2.5,1.265,0.167,0.394,0.704,0
nor076,48.645,21.397,3.339,9.834,8.224,27.248,22.432,4.816,17.6,3.7,7.9,1.465,0.065,0.442,0.958,0
nor101,77.567,14.657,5.808,4.108,4.741,62.911,48.769,14.142,10.2,5.6,3.8,0.747,0.047,0.522,0.178,0
nor110,NA,10.065,2.381,2.721,4.963,NA,NA,NA,9,5.9,3.2,0.58,0.093,0.375,0.112,0
nor111,15.187,12.446,1.799,3.884,6.762,2.741,0.28,2.461,8.1,2.6,2.8,0.828,0.14,0.585,0.102,0
nor114,22.075,18.837,3.615,6.24,8.982,3.238,0.582,2.655,9,5.1,2.4,1.658,0.186,1.41,0.0638,0
nor115,51.174,13.404,4.947,4.017,4.44,37.769,29.325,8.444,15,5.2,2.7,0.688,0.011,0.0598,0.617,0
nor117,125.642,18.802,4.352,5.479,8.971,106.84,45.816,61.024,16.3,8.2,2.3,1.028,0.014,0.274,0.74,0
nor119,52.655,19.075,6.858,6.739,5.478,33.58,21.283,12.296,15.7,8.5,2.1,2.104,0.009,0.244,1.85,0
nor125,64.545,18.146,5.599,6.42,6.127,46.399,38.096,8.303,9.8,8.2,3.8,1.236,0.013,0.101,1.12,0
nor126,81.992,21.28,5.633,7.482,8.165,60.712,36.121,24.591,15.7,2.7,3.8,5.688,0.026,5.64,0.0196,0
nor127,32.535,15.831,4.664,5.314,5.854,16.704,8.604,8.099,14,13.5,5.2,0.054,0.009,0.0378,0.0074400000000000004,0
nor128,41.557,11.053,3.827,4.146,3.08,30.504,10.368,20.136,15.4,11,6.5,0.211,0.021,0.155,0.0348,0
nor129,45.343,16.796,7.229,5.684,3.884,28.546,11.228,17.318,13.9,6.6,7.7,0.123,0.012,0.104,0.00601,0
nor130,41.306,17.793,6.401,5.632,5.759,23.513,14.066,9.447,15.3,10.3,7,0.076,0.004,0.0663,0.00548,0
rivr001,103.646,15.988,4.012,3.11,8.866,87.658,42.163,45.496,30.3,6.9,3.3,0.491,0.416,0.0662,0.00846,0
rivr002,17.222,6.691,1.229,1.269,4.193,10.531,6.393,4.138,18.7,0,0.4,0.285,0.092,0.193,8.89e-5,0
rivr003,16.504,12.728,1.174,2.9,8.654,3.775,0.993,2.782,4.4,0.5,0.9,0.997,0.567,0.426,1e-4,0.00304
rivr004,37.035,17.189,1.127,6.769,9.293,19.846,11.691,8.155,11.1,0,0.2,0.54,0.362,0.175,1.49e-4,0.00253
rivr006,22.481,10.502,3.967,4.698,1.837,11.979,2.195,9.784,30.2,2.8,2.6,15.551,0.197,15.2,0.141,5.14e-4
rivr007,13.016,9.482,5.536,3.099,0.846,3.535,0.113,3.422,22.3,4.8,5,7.856,0.388,7.46,0.00325,6.58e-4
rivr008,59.145,14.538,4.708,5.794,4.035,44.607,23.689,20.918,8.1,5.8,3.1,1.75,0.579,0.956,0.215,0
